popopo;	2;	11772;	1;	1;	3;	2;	250;	22/10/2024
zipzap;	2;	8600;	2;	0;	1;	1;	159;	22/10/2024
ko;	2;	12700;	2;	2;	2;	4;	189;	24/10/2024
pb;	2;	800;	0;	1;	0;	0;	12;	24/10/2024
mini;	2;	6222;	0;	1;	3;	1;	188;	24/10/2024
dt;	2;	900;	0;	0;	0;	0;	13;	24 10 2024

